,cenario,rodada,tempo_conectado_sem_link,tempo_desconectado,tempo_sem_link
75,0.0,15.0,0.15431048315111623,0.7929092020335304,0.9472196851846466
76,0.0,15.0,0.5087929520149485,0.4467664246879869,0.9555593767029353
77,0.0,15.0,0.32553420444475034,0.6534706970244506,0.9790049014692007
78,0.0,15.0,0.2710904184786665,0.7218387684886133,0.9929291869672798
79,0.0,15.0,0.24604563724985618,0.7036238825694391,0.9496695198192953
80,0.0,16.0,0.19992103158636687,0.7958993512527123,0.9958203828390793
81,0.0,16.0,0.1251213938418811,0.8520849276181889,0.97720632146007
82,0.0,16.0,0.1903469996882349,0.77505169940716,0.9653986990953947
83,0.0,16.0,0.1785465741820444,0.8203536679187062,0.9989002421007507
84,0.0,16.0,0.3194919887184021,0.6668779614648828,0.9863699501832849
