,entrada,cenario,rodada,tempo_desconectado,tempo_conectado_sem_link,tempo_sem_link
52,"(5, 6)",SimulacaoCenario1Deterministico,5.0,0.6728585349459121,0.3082152730214741,0.9810738079673861
53,"(5, 6)",SimulacaoCenario1Deterministico,5.0,0.7535512233487812,0.23230404521131384,0.985855268560095
54,"(5, 6)",SimulacaoCenario1Deterministico,5.0,0.6792396834316332,0.3048933742087148,0.984133057640348
55,"(5, 6)",SimulacaoCenario1Deterministico,5.0,0.5843108015878786,0.3892744855740925,0.9735852871619711
56,"(5, 6)",SimulacaoCenario1Deterministico,5.0,0.6729595019695558,0.28691502612466235,0.9598745280942182
57,"(5, 6)",SimulacaoCenario1Deterministico,5.0,0.6892451535973094,0.25549420213282337,0.9447393557301327
58,"(5, 6)",SimulacaoCenario1Deterministico,5.0,0.7309052716008321,0.2541132385347691,0.9850185101356013
59,"(5, 6)",SimulacaoCenario1Deterministico,5.0,0.7333508655137214,0.24281060986827338,0.9761614753819946
60,"(5, 6)",SimulacaoCenario1Deterministico,6.0,0.7398874180505899,0.2493834243354718,0.9892708423860616
61,"(5, 6)",SimulacaoCenario1Deterministico,6.0,0.7711959884757771,0.20701009006874616,0.9782060785445232
62,"(5, 6)",SimulacaoCenario1Deterministico,6.0,0.7840224593066351,0.19742430059296637,0.9814467598996016
63,"(5, 6)",SimulacaoCenario1Deterministico,6.0,0.7366958677775185,0.24573557525213524,0.9824314430296538
64,"(5, 6)",SimulacaoCenario1Deterministico,6.0,0.7219349769931521,0.25677442742936674,0.9787094044225187
65,"(5, 6)",SimulacaoCenario1Deterministico,6.0,0.7199099874331178,0.2653757798407357,0.9852857672738535
66,"(5, 6)",SimulacaoCenario1Deterministico,6.0,0.7266015973465216,0.24572241114562676,0.9723240084921484
67,"(5, 6)",SimulacaoCenario1Deterministico,6.0,0.7947591485263321,0.1828045457722313,0.9775636942985633
68,"(5, 6)",SimulacaoCenario1Deterministico,6.0,0.826055804333975,0.17155169126478664,0.9976074955987616
69,"(5, 6)",SimulacaoCenario1Deterministico,6.0,0.6715452433430154,0.30390479297252154,0.975450036315537
70,"(5, 6)",SimulacaoCenario1Deterministico,7.0,0.73393877961307,0.23438945696520566,0.9683282365782756
71,"(5, 6)",SimulacaoCenario1Deterministico,7.0,0.7362655389730131,0.2602178528767629,0.9964833918497759
72,"(5, 6)",SimulacaoCenario1Deterministico,7.0,0.746403653786315,0.2156121659348218,0.9620158197211368
73,"(5, 6)",SimulacaoCenario1Deterministico,7.0,0.6848698901262681,0.2763020504964523,0.9611719406227204
74,"(5, 6)",SimulacaoCenario1Deterministico,7.0,0.7456124983643194,0.2430573471124298,0.9886698454767492
75,"(5, 6)",SimulacaoCenario1Deterministico,7.0,0.7434669638342571,0.2465799250295138,0.9900468888637708
76,"(5, 6)",SimulacaoCenario1Deterministico,7.0,0.7332127327115463,0.24823669123065534,0.9814494239422016
77,"(5, 6)",SimulacaoCenario1Deterministico,7.0,0.7632020693724842,0.21811671286808484,0.981318782240569
78,"(5, 6)",SimulacaoCenario1Deterministico,7.0,0.7783840242963762,0.20906263712261142,0.9874466614189876
79,"(5, 6)",SimulacaoCenario1Deterministico,7.0,0.673892114834925,0.31571053372184205,0.9896026485567669
80,"(5, 6)",SimulacaoCenario1Deterministico,8.0,0.686459211101706,0.30051905762680126,0.9869782687285072
81,"(5, 6)",SimulacaoCenario1Deterministico,8.0,0.703739255006515,0.2656173699710198,0.969356624977535
82,"(5, 6)",SimulacaoCenario1Deterministico,8.0,0.6138914171737819,0.35743357162641515,0.9713249888001972
83,"(5, 6)",SimulacaoCenario1Deterministico,8.0,0.694079423517943,0.29028508407767695,0.98436450759562
84,"(5, 6)",SimulacaoCenario1Deterministico,8.0,0.7466454515474581,0.2428758210290835,0.9895212725765415
85,"(5, 6)",SimulacaoCenario1Deterministico,8.0,0.7578806799152005,0.20588297436968878,0.9637636542848893
86,"(5, 6)",SimulacaoCenario1Deterministico,8.0,0.7588114707432085,0.20398996611712125,0.9628014368603298
87,"(5, 6)",SimulacaoCenario1Deterministico,8.0,0.7105492605614763,0.2803401467599616,0.9908894073214377
88,"(5, 6)",SimulacaoCenario1Deterministico,8.0,0.7575156474648495,0.2242385915554374,0.9817542390202868
89,"(5, 6)",SimulacaoCenario1Deterministico,8.0,0.7338340325685171,0.25497193215117653,0.9888059647196935
90,"(5, 6)",SimulacaoCenario1Deterministico,9.0,0.6643053517694247,0.312845495443696,0.9771508472131208
91,"(5, 6)",SimulacaoCenario1Deterministico,9.0,0.7645030778986468,0.20988978142751813,0.9743928593261649
92,"(5, 6)",SimulacaoCenario1Deterministico,9.0,0.6974666513292668,0.2885738434748816,0.9860404948041482
93,"(5, 6)",SimulacaoCenario1Deterministico,9.0,0.7626294198222044,0.22409570518342528,0.9867251250056297
94,"(5, 6)",SimulacaoCenario1Deterministico,9.0,0.6743421111117689,0.30997508768483045,0.9843171987965994
95,"(5, 6)",SimulacaoCenario1Deterministico,9.0,0.7290369996596447,0.2663098159100187,0.9953468155696635
96,"(5, 6)",SimulacaoCenario1Deterministico,9.0,0.8183418140881908,0.15636370599489566,0.9747055200830865
97,"(5, 6)",SimulacaoCenario1Deterministico,9.0,0.7192103567072102,0.26009179119794873,0.979302147905159
98,"(5, 6)",SimulacaoCenario1Deterministico,9.0,0.7135988090277371,0.274931295076099,0.9885301041038361
99,"(5, 6)",SimulacaoCenario1Deterministico,9.0,0.7330451729388794,0.2560859489025241,0.9891311218414035
100,"(5, 6)",SimulacaoCenario1Deterministico,10.0,0.730040175053589,0.2493034225047971,0.9793435975583861
101,"(5, 6)",SimulacaoCenario1Deterministico,10.0,0.6485662315479501,0.32417354487462635,0.9727397764225763
102,"(5, 6)",SimulacaoCenario1Deterministico,10.0,0.6968607270734839,0.3024898268365422,0.9993505539100263
103,"(5, 6)",SimulacaoCenario1Deterministico,10.0,0.7663778821533649,0.22440875794509715,0.9907866400984621
104,"(5, 6)",SimulacaoCenario1Deterministico,10.0,0.6887809340434013,0.28160865441815824,0.9703895884615598
105,"(5, 6)",SimulacaoCenario1Deterministico,10.0,0.6672658797267352,0.30309784397039236,0.9703637236971275
106,"(5, 6)",SimulacaoCenario1Deterministico,10.0,0.7564165715080831,0.23592733810129332,0.9923439096093762
107,"(5, 6)",SimulacaoCenario1Deterministico,10.0,0.7572406758680159,0.2280220815354252,0.9852627574034409
108,"(5, 6)",SimulacaoCenario1Deterministico,10.0,0.7136097063526868,0.26920451703526255,0.9828142233879495
109,"(5, 6)",SimulacaoCenario1Deterministico,10.0,0.7164064308216057,0.2656030672557315,0.9820094980773372
110,"(5, 6)",SimulacaoCenario1Deterministico,11.0,0.7741677029920879,0.2176114689598878,0.9917791719519756
111,"(5, 6)",SimulacaoCenario1Deterministico,11.0,0.7179786392042198,0.2608027941981399,0.9787814334023597
112,"(5, 6)",SimulacaoCenario1Deterministico,11.0,0.6185647111628073,0.35749882778056724,0.9760635389433744
113,"(5, 6)",SimulacaoCenario1Deterministico,11.0,0.7583194270090805,0.23053939225102507,0.9888588192601058
114,"(5, 6)",SimulacaoCenario1Deterministico,11.0,0.7152342743495937,0.2701375261908847,0.9853718005404783
115,"(5, 6)",SimulacaoCenario1Deterministico,11.0,0.6987042235325578,0.27675443502539365,0.9754586585579516
116,"(5, 6)",SimulacaoCenario1Deterministico,11.0,0.724222754609306,0.2605049927778759,0.9847277473871817
117,"(5, 6)",SimulacaoCenario1Deterministico,11.0,0.7237275769273119,0.2542009713552982,0.9779285482826101
118,"(5, 6)",SimulacaoCenario1Deterministico,11.0,0.7111063832237933,0.27054183677707877,0.9816482200008722
119,"(5, 6)",SimulacaoCenario1Deterministico,11.0,0.7342754924930998,0.22588120336928214,0.960156695862382
120,"(5, 6)",SimulacaoCenario1Deterministico,12.0,0.7529037194977944,0.23865666569636806,0.9915603851941625
121,"(5, 6)",SimulacaoCenario1Deterministico,12.0,0.6736355180348836,0.31353059080584234,0.9871661088407261
122,"(5, 6)",SimulacaoCenario1Deterministico,12.0,0.7162575500908654,0.2790150321967828,0.9952725822876484
123,"(5, 6)",SimulacaoCenario1Deterministico,12.0,0.7622223184042136,0.21239474378283396,0.9746170621870476
124,"(5, 6)",SimulacaoCenario1Deterministico,12.0,0.6790672548689141,0.30655724851010896,0.9856245033790231
125,"(5, 6)",SimulacaoCenario1Deterministico,12.0,0.7734377372163633,0.21344958612327725,0.9868873233396407
126,"(5, 6)",SimulacaoCenario1Deterministico,12.0,0.6782190708572807,0.3038725452814563,0.9820916161387371
127,"(5, 6)",SimulacaoCenario1Deterministico,12.0,0.6301827180348178,0.34314361459407566,0.9733263326288935
128,"(5, 6)",SimulacaoCenario1Deterministico,12.0,0.7614736219068302,0.22043961733386724,0.9819132392406973
129,"(5, 6)",SimulacaoCenario1Deterministico,12.0,0.72159506751839,0.24906369967969408,0.9706587671980841
130,"(5, 6)",SimulacaoCenario1Deterministico,13.0,0.7147654130499322,0.2744392290477979,0.9892046420977302
131,"(5, 6)",SimulacaoCenario1Deterministico,13.0,0.7237524467706793,0.2661112671802205,0.9898637139508999
132,"(5, 6)",SimulacaoCenario1Deterministico,13.0,0.7398262627960096,0.25639923419887384,0.9962254969948835
133,"(5, 6)",SimulacaoCenario1Deterministico,13.0,0.711706410522971,0.2864153109824964,0.9981217215054675
134,"(5, 6)",SimulacaoCenario1Deterministico,13.0,0.6824182836122922,0.2881415162721972,0.9705597998844893
135,"(5, 6)",SimulacaoCenario1Deterministico,13.0,0.7979984342323173,0.1892624383269933,0.9872608725593107
136,"(5, 6)",SimulacaoCenario1Deterministico,13.0,0.7235139803027235,0.2514572780966075,0.9749712583993311
