,datetime,level,content
148,2021-10-26 14:05:15.258978,0.0,(49) Aceitação: 1.0031347962382444|U: 0.3680085117231964
149,2021-10-26 14:05:15.260953,0.0,(49) Aceito!
150,2021-10-26 14:05:15.267857,0.0,(50) Proposto: 0.0015015015015015015|Atual: 0.001567398119122257
151,2021-10-26 14:05:15.269901,0.0,(50) Aceitação: 0.957957957957958|U: 0.15509105327774197
152,2021-10-26 14:05:15.273407,0.0,(50) Aceito!
153,2021-10-26 14:05:15.280250,0.0,(51) Proposto: 0.0016181229773462784|Atual: 0.0015015015015015015
154,2021-10-26 14:05:15.282854,0.0,(51) Aceitação: 1.0776699029126213|U: 0.7141828255485967
155,2021-10-26 14:05:15.284967,0.0,(51) Aceito!
156,2021-10-26 14:05:15.292526,0.0,(52) Proposto: 0.0015527950310559005|Atual: 0.0016181229773462784
157,2021-10-26 14:05:15.294808,0.0,(52) Aceitação: 0.9596273291925465|U: 0.1912374743797649
158,2021-10-26 14:05:15.297314,0.0,(52) Aceito!
159,2021-10-26 14:05:15.304292,0.0,(53) Proposto: 0.001557632398753894|Atual: 0.0015527950310559005
160,2021-10-26 14:05:15.307070,0.0,(53) Aceitação: 1.003115264797508|U: 0.9535997148400622
161,2021-10-26 14:05:15.309190,0.0,(53) Aceito!
162,2021-10-26 14:05:15.315673,0.0,(54) Proposto: 0.0015625|Atual: 0.001557632398753894
163,2021-10-26 14:05:15.317835,0.0,(54) Aceitação: 1.003125|U: 0.2683083260667696
164,2021-10-26 14:05:15.319723,0.0,(54) Aceito!
165,2021-10-26 14:05:15.329165,0.0,(55) Proposto: 0.001488095238095238|Atual: 0.0015625
166,2021-10-26 14:05:15.331666,0.0,(55) Aceitação: 0.9523809523809523|U: 0.3981454426334342
167,2021-10-26 14:05:15.333608,0.0,(55) Aceito!
168,2021-10-26 14:05:15.340682,0.0,(56) Proposto: 0.0014792899408284023|Atual: 0.001488095238095238
169,2021-10-26 14:05:15.343091,0.0,(56) Aceitação: 0.9940828402366865|U: 0.333133027524827
170,2021-10-26 14:05:15.345162,0.0,(56) Aceito!
171,2021-10-26 14:05:15.350762,0.0,(57) Proposto: 0.001488095238095238|Atual: 0.0014792899408284023
172,2021-10-26 14:05:15.352941,0.0,(57) Aceitação: 1.005952380952381|U: 0.7037536469996541
173,2021-10-26 14:05:15.356475,0.0,(57) Aceito!
174,2021-10-26 14:05:15.362852,0.0,(58) Proposto: 0.0014970059880239522|Atual: 0.001488095238095238
175,2021-10-26 14:05:15.365778,0.0,(58) Aceitação: 1.005988023952096|U: 0.957480237832945
176,2021-10-26 14:05:15.367894,0.0,(58) Aceito!
177,2021-10-26 14:05:15.377079,0.0,(59) Proposto: 0.001440922190201729|Atual: 0.0014970059880239522
178,2021-10-26 14:05:15.379413,0.0,(59) Aceitação: 0.9625360230547549|U: 0.5144977038013973
179,2021-10-26 14:05:15.381690,0.0,(59) Aceito!
180,2021-10-26 14:05:15.387928,0.0,(60) Proposto: 0.0014705882352941176|Atual: 0.001440922190201729
181,2021-10-26 14:05:15.390780,0.0,(60) Aceitação: 1.0205882352941178|U: 0.41533555428103486
182,2021-10-26 14:05:15.392764,0.0,(60) Aceito!
183,2021-10-26 14:05:15.398876,0.0,(61) Proposto: 0.0014792899408284023|Atual: 0.0014705882352941176
184,2021-10-26 14:05:15.401049,0.0,(61) Aceitação: 1.0059171597633136|U: 0.57405882516047
185,2021-10-26 14:05:15.402966,0.0,(61) Aceito!
186,2021-10-26 14:05:15.410179,0.0,(62) Proposto: 0.0014577259475218659|Atual: 0.0014792899408284023
187,2021-10-26 14:05:15.412316,0.0,(62) Aceitação: 0.9854227405247813|U: 0.567647123872074
188,2021-10-26 14:05:15.414837,0.0,(62) Aceito!
189,2021-10-26 14:05:15.420377,0.0,(63) Proposto: 0.0015290519877675841|Atual: 0.0014577259475218659
190,2021-10-26 14:05:15.423322,0.0,(63) Aceitação: 1.0489296636085628|U: 0.28316174603684385
191,2021-10-26 14:05:15.425823,0.0,(63) Aceito!
192,2021-10-26 14:05:15.431408,0.0,(64) Proposto: 0.001524390243902439|Atual: 0.0015290519877675841
193,2021-10-26 14:05:15.433932,0.0,(64) Aceitação: 0.9969512195121951|U: 0.10433335887325834
194,2021-10-26 14:05:15.436062,0.0,(64) Aceito!
195,2021-10-26 14:05:15.442539,0.0,(65) Proposto: 0.001445086705202312|Atual: 0.001524390243902439
196,2021-10-26 14:05:15.444734,0.0,(65) Aceitação: 0.9479768786127167|U: 0.4443823546155623
197,2021-10-26 14:05:15.446895,0.0,(65) Aceito!
198,2021-10-26 14:05:15.453969,0.0,(66) Proposto: 0.0013812154696132596|Atual: 0.001445086705202312
199,2021-10-26 14:05:15.456892,0.0,(66) Aceitação: 0.9558011049723757|U: 0.028813284949264273
200,2021-10-26 14:05:15.458866,0.0,(66) Aceito!
201,2021-10-26 14:05:15.464834,0.0,(67) Proposto: 0.001288659793814433|Atual: 0.0013812154696132596
202,2021-10-26 14:05:15.467049,0.0,(67) Aceitação: 0.9329896907216495|U: 0.22088150912529492
203,2021-10-26 14:05:15.469024,0.0,(67) Aceito!
204,2021-10-26 14:05:15.476778,0.0,(68) Proposto: 0.0014245014245014246|Atual: 0.001288659793814433
205,2021-10-26 14:05:15.478947,0.0,(68) Aceitação: 1.1054131054131056|U: 0.42500563584108886
206,2021-10-26 14:05:15.481225,0.0,(68) Aceito!
207,2021-10-26 14:05:15.487485,0.0,(69) Proposto: 0.0014925373134328358|Atual: 0.0014245014245014246
208,2021-10-26 14:05:15.490447,0.0,(69) Aceitação: 1.0477611940298508|U: 0.6937717938376651
209,2021-10-26 14:05:15.492880,0.0,(69) Aceito!
210,2021-10-26 14:05:15.498695,0.0,(70) Proposto: 0.0015060240963855422|Atual: 0.0014925373134328358
211,2021-10-26 14:05:15.500760,0.0,(70) Aceitação: 1.0090361445783134|U: 0.9129536514922687
212,2021-10-26 14:05:15.503040,0.0,(70) Aceito!
213,2021-10-26 14:05:15.509518,0.0,(71) Proposto: 0.001519756838905775|Atual: 0.0015060240963855422
214,2021-10-26 14:05:15.511677,0.0,(71) Aceitação: 1.0091185410334347|U: 0.4637720374492055
215,2021-10-26 14:05:15.514429,0.0,(71) Aceito!
216,2021-10-26 14:05:15.520763,0.0,(72) Proposto: 0.0015432098765432098|Atual: 0.001519756838905775
217,2021-10-26 14:05:15.523852,0.0,(72) Aceitação: 1.015432098765432|U: 0.2367627871764817
218,2021-10-26 14:05:15.526006,0.0,(72) Aceito!
219,2021-10-26 14:05:15.532021,0.0,(73) Proposto: 0.001524390243902439|Atual: 0.0015432098765432098
220,2021-10-26 14:05:15.534311,0.0,(73) Aceitação: 0.9878048780487806|U: 0.8942459890196991
221,2021-10-26 14:05:15.536397,0.0,(73) Aceito!
222,2021-10-26 14:05:15.543384,0.0,(74) Proposto: 0.001392757660167131|Atual: 0.001524390243902439
223,2021-10-26 14:05:15.545382,0.0,(74) Aceitação: 0.9136490250696379|U: 0.8858801614623202
224,2021-10-26 14:05:15.547680,0.0,(74) Aceito!
225,2021-10-26 14:05:15.554809,0.0,(75) Proposto: 0.0013966480446927375|Atual: 0.001392757660167131
226,2021-10-26 14:05:15.557387,0.0,(75) Aceitação: 1.0027932960893855|U: 0.7841802064586829
227,2021-10-26 14:05:15.559451,0.0,(75) Aceito!
228,2021-10-26 14:05:15.565665,0.0,(76) Proposto: 0.0015015015015015015|Atual: 0.0013966480446927375
229,2021-10-26 14:05:15.567948,0.0,(76) Aceitação: 1.075075075075075|U: 0.912156452211127
230,2021-10-26 14:05:15.570463,0.0,(76) Aceito!
231,2021-10-26 14:05:15.579074,0.0,(77) Proposto: 0.001519756838905775|Atual: 0.0015015015015015015
232,2021-10-26 14:05:15.581939,0.0,(77) Aceitação: 1.0121580547112463|U: 0.363772057791803
233,2021-10-26 14:05:15.584000,0.0,(77) Aceito!
234,2021-10-26 14:05:15.590363,0.0,(78) Proposto: 0.001445086705202312|Atual: 0.001519756838905775
235,2021-10-26 14:05:15.592917,0.0,(78) Aceitação: 0.9508670520231214|U: 0.29280626715559366
236,2021-10-26 14:05:15.594841,0.0,(78) Aceito!
237,2021-10-26 14:05:15.601458,0.0,(79) Proposto: 0.0012690355329949238|Atual: 0.001445086705202312
238,2021-10-26 14:05:15.604939,0.0,(79) Aceitação: 0.8781725888324873|U: 0.9489706651225299
239,2021-10-26 14:05:15.608191,0.0,(79) Reprovado!
240,2021-10-26 14:05:15.615563,0.0,(80) Proposto: 0.0014792899408284023|Atual: 0.001445086705202312
241,2021-10-26 14:05:15.617695,0.0,(80) Aceitação: 1.0236686390532546|U: 0.6468049389783387
242,2021-10-26 14:05:15.619646,0.0,(80) Aceito!
243,2021-10-26 14:05:15.626631,0.0,(81) Proposto: 0.001483679525222552|Atual: 0.0014792899408284023
244,2021-10-26 14:05:15.628675,0.0,(81) Aceitação: 1.002967359050445|U: 0.9467714276847182
245,2021-10-26 14:05:15.631033,0.0,(81) Aceito!
246,2021-10-26 14:05:15.636660,0.0,(82) Proposto: 0.001388888888888889|Atual: 0.001483679525222552
247,2021-10-26 14:05:15.640145,0.0,(82) Aceitação: 0.9361111111111111|U: 0.3790381601533164
248,2021-10-26 14:05:15.642396,0.0,(82) Aceito!
249,2021-10-26 14:05:15.648633,0.0,(83) Proposto: 0.0014492753623188406|Atual: 0.001388888888888889
250,2021-10-26 14:05:15.650893,0.0,(83) Aceitação: 1.0434782608695652|U: 0.19721017935161234
251,2021-10-26 14:05:15.653108,0.0,(83) Aceito!
252,2021-10-26 14:05:15.659729,0.0,(84) Proposto: 0.0013513513513513514|Atual: 0.0014492753623188406
253,2021-10-26 14:05:15.661776,0.0,(84) Aceitação: 0.9324324324324325|U: 0.2959797634751554
254,2021-10-26 14:05:15.664486,0.0,(84) Aceito!
255,2021-10-26 14:05:15.669959,0.0,(85) Proposto: 0.001366120218579235|Atual: 0.0013513513513513514
256,2021-10-26 14:05:15.673100,0.0,(85) Aceitação: 1.010928961748634|U: 0.3394072459802384
257,2021-10-26 14:05:15.676026,0.0,(85) Aceito!
258,2021-10-26 14:05:15.682000,0.0,(86) Proposto: 0.0014749262536873156|Atual: 0.001366120218579235
259,2021-10-26 14:05:15.684145,0.0,(86) Aceitação: 1.079646017699115|U: 0.011843770219601368
260,2021-10-26 14:05:15.686508,0.0,(86) Aceito!
261,2021-10-26 14:05:15.693231,0.0,(87) Proposto: 0.0015105740181268882|Atual: 0.0014749262536873156
262,2021-10-26 14:05:15.695422,0.0,(87) Aceitação: 1.0241691842900302|U: 0.6297391640660412
263,2021-10-26 14:05:15.697601,0.0,(87) Aceito!
264,2021-10-26 14:05:15.703993,0.0,(88) Proposto: 0.001445086705202312|Atual: 0.0015105740181268882
265,2021-10-26 14:05:15.707240,0.0,(88) Aceitação: 0.9566473988439306|U: 0.16819034105426078
266,2021-10-26 14:05:15.709968,0.0,(88) Aceito!
267,2021-10-26 14:05:15.715878,0.0,(89) Proposto: 0.0015060240963855422|Atual: 0.001445086705202312
268,2021-10-26 14:05:15.718054,0.0,(89) Aceitação: 1.0421686746987953|U: 0.7905819328118282
269,2021-10-26 14:05:15.720758,0.0,(89) Aceito!
270,2021-10-26 14:05:15.726927,0.0,(90) Proposto: 0.0014970059880239522|Atual: 0.0015060240963855422
271,2021-10-26 14:05:15.729421,0.0,(90) Aceitação: 0.9940119760479043|U: 0.06374064083507558
272,2021-10-26 14:05:15.731994,0.0,(90) Aceito!
273,2021-10-26 14:05:15.739519,0.0,(91) Proposto: 0.0014534883720930232|Atual: 0.0014970059880239522
274,2021-10-26 14:05:15.741844,0.0,(91) Aceitação: 0.9709302325581395|U: 0.37038466235359124
275,2021-10-26 14:05:15.743727,0.0,(91) Aceito!
